Date,Day,High Temp,Low Temp,Precipitation,Brooklyn Bridge,Manhattan Bridge,Williamsburg Bridge,Queensboro Bridge,Total,,Total/day of week avg,,Average total:,
1-Apr,Friday,78.1,66,0.01,"1,704","3,126","4,115","2,552","11,497",,0.63926984,Sunday,"13,716","4,141"
2-Apr,Saturday,55,48.9,0.15,827,"1,646","2,565","1,884","6,922",,0.461446819,Monday,"19,394","5,253"
3-Apr,Sunday,39.9,34,0.09,526,"1,232","1,695","1,306","4,759",,0.346957254,Tuesday,"20,782","5,842"
4-Apr,Monday,44.1,33.1,0.47,521,"1,067","1,440","1,307","4,335",,0.223526085,Wednesday,"22,422","4,198"
5-Apr,Tuesday,42.1,26.1,0,"1,416","2,617","3,081","2,357","9,471",,0.455725073,Thrusday,"20,781","5,033"
6-Apr,Wednesday,45,30,0,"1,885","3,329","3,856","2,849","11,919",,0.531569809,Friday,"17,985","5,388"
7-Apr,Thursday,57,53.1,0.09,"1,276","2,581","3,282","2,457","9,596",,0.461761295,Saturday,"15,001","4,402"
8-Apr,Friday,46.9,44.1,0.01,"1,982","3,455","4,113","3,194","12,744",,0.708607015,,,
9-Apr,Saturday,43,37.9,0.09,504,997,"1,507","1,502","4,510",,0.300653735,,,
10-Apr,Sunday,48.9,30.9,0,"1,447","2,387","3,132","2,160","9,126",,0.665335553,,,
11-Apr,Monday,62.1,46,0.01,"2,005","3,791","4,334","3,182","13,312",,0.68640813,,,
12-Apr,Tuesday,57,45,0.2,"1,045","2,178","2,762","2,082","8,067",,0.388167476,,,
13-Apr,Wednesday,57,39.9,0,"2,840","5,395","5,995","4,192","18,422",,0.821594011,,,
14-Apr,Thursday,62.1,44.6,0,"2,861","5,309","6,030","4,115","18,315",,0.881321188,,,
15-Apr,Friday,64,44.1,0,"2,770","5,072","5,816","3,912","17,570",,0.976947995,,,
16-Apr,Saturday,66,45,0,"2,384","4,316","5,624","4,051","16,375",,1.091619715,,,
17-Apr,Sunday,73.9,46,0,"3,147","4,969","5,867","4,197","18,180",,1.325421911,,,
18-Apr,Monday,81,52,0,"3,871","6,823","7,432","4,964","23,090",,1.190592227,,,
19-Apr,Tuesday,71.1,63,0,"3,501","6,951","7,834","5,032","23,318",,1.122014281,,,
20-Apr,Wednesday,68,50,0,"3,450","6,574","7,639","4,928","22,591",,1.007525258,,,
21-Apr,Thursday,71.1,50,0,"3,436","6,452","7,426","4,813","22,127",,1.064755333,,,
22-Apr,Friday,78.1,63,0,"2,975","4,907","6,093","3,862","17,837",,0.991794046,,,
23-Apr,Saturday,70,61,0.16,"2,055","3,276","4,856","3,239","13,426",,0.895028171,,,
24-Apr,Sunday,68,48,0,"2,798","4,650","5,335","3,957","16,740",,1.220437997,,,
25-Apr,Monday,66.9,54,0,"3,463","5,978","6,845","4,564","20,850",,1.075090859,,,
26-Apr,Tuesday,60.1,46.9,0.24,"1,997","3,520","4,559","2,929","13,005",,0.625773897,,,
27-Apr,Wednesday,62.1,46.9,0,"3,343","5,606","6,577","4,388","19,914",,0.888135009,,,
28-Apr,Thursday,57.9,48,0,"2,486","4,152","5,336","3,657","15,631",,0.752166611,,,
29-Apr,Friday,57,46.9,0.05,"2,375","4,178","5,053","3,348","14,954",,0.831490058,,,
30-Apr,Saturday,64,48,0,"3,199","4,952","5,675","3,606","17,432",,1.162083351,,,
1-May,Sunday,50,45,0.16,"2,634","1,525","2,062","1,408","7,629",,0.556196026,,,
2-May,Monday,59,46,0.04,"2,505","4,149","4,864","3,575","15,093",,0.778242031,,,
3-May,Tuesday,54,51.1,0.61,"1,059","1,986","2,614","1,741","7,400",,0.356072806,,,
4-May,Wednesday,51.1,48.9,0.01,"1,710","2,905","3,797","2,693","11,105",,0.49526661,,,
5-May,Thursday,57,46.9,0,"2,582","4,196","4,971","3,619","15,368",,0.739511003,,,
6-May,Friday,53.1,48,0.54,652,"1,453","2,122","1,612","5,839",,0.324667009,,,
7-May,Saturday,57.9,48.9,0,"1,867","3,157","3,789","2,749","11,562",,0.770766849,,,
8-May,Sunday,64.9,50,0.16,"1,916","2,927","3,948","2,463","11,254",,0.820478448,,,
9-May,Monday,72,55,0,"3,650","6,591","7,386","4,951","22,578",,1.164191915,,,
10-May,Tuesday,62.1,51.1,0,"3,384","6,283","7,335","4,796","21,798",,1.048875002,,,
11-May,Wednesday,73.9,53.1,0,"3,883","7,216","8,231","5,327","24,657",,1.099665808,,,
12-May,Thursday,79,57.9,0,"3,960","7,103","8,333","5,735","25,131",,1.209308369,,,
13-May,Friday,64.9,60.1,0.25,"1,780","3,072","4,229","3,121","12,202",,0.678470087,,,
14-May,Saturday,71.6,60.8,0,"2,556","4,042","5,479","3,951","16,028",,1.068487377,,,
15-May,Sunday,57.2,50,0,"1,738","2,971","3,486","2,696","10,891",,0.794013753,,,
16-May,Monday,66.2,46.4,0,"2,907","5,254","5,961","4,016","18,138",,0.935251703,,,
